iter	Passed	Remaining
0	57	57460
1	57	28903
2	58	19368
3	58	14607
4	59	11756
5	59	9838
6	59	8476
7	60	7448
8	60	6653
9	60	6012
10	61	5496
11	61	5068
12	62	4708
13	62	4390
14	62	4114
15	63	3876
16	63	3664
17	63	3474
18	63	3301
19	64	3146
20	64	3008
21	64	2880
22	65	2766
23	65	2661
24	65	2564
25	66	2473
26	66	2391
27	66	2313
28	66	2241
29	67	2172
30	67	2107
31	67	2048
32	68	1993
33	68	1940
34	68	1891
35	68	1842
36	69	1797
37	69	1754
38	69	1713
39	69	1675
40	70	1639
41	70	1604
42	70	1571
43	70	1538
44	71	1508
45	71	1479
46	71	1450
47	71	1424
48	72	1398
49	72	1373
50	72	1349
51	72	1326
52	72	1304
53	73	1283
54	73	1262
55	73	1242
56	73	1223
57	74	1204
58	74	1186
59	74	1169
60	74	1152
61	75	1136
62	75	1120
63	75	1105
64	75	1090
65	76	1075
66	76	1061
67	76	1047
68	76	1035
69	76	1021
70	77	1010
71	77	998
72	77	986
73	77	975
74	78	963
75	78	953
76	78	943
77	78	933
78	79	923
79	79	912
80	79	902
81	79	892
82	79	883
83	80	874
84	80	865
85	80	857
86	80	848
87	81	840
88	81	832
89	81	824
90	81	817
91	82	809
92	82	802
93	82	795
94	82	788
95	82	781
96	83	774
97	83	768
98	83	761
99	83	755
100	84	749
101	84	742
102	84	737
103	84	731
104	85	725
105	85	720
106	85	714
107	85	709
108	86	704
109	86	699
110	86	694
111	86	689
112	87	684
113	87	679
114	87	674
115	87	669
116	88	664
117	88	660
118	88	655
119	88	651
120	89	646
121	89	642
122	89	637
123	89	633
124	89	629
125	90	625
126	90	621
127	90	617
128	90	613
129	91	609
130	91	605
131	91	601
132	91	598
133	92	594
134	92	591
135	92	586
136	92	583
137	92	579
138	93	576
139	93	573
140	93	569
141	93	566
142	93	563
143	94	559
144	94	557
145	94	553
146	94	550
147	95	547
148	95	544
149	95	541
150	95	538
151	96	535
152	96	532
153	96	530
154	96	527
155	96	524
156	97	521
157	97	519
158	97	516
159	97	513
160	98	511
161	98	508
162	98	505
163	98	503
164	98	500
165	99	498
166	99	496
167	99	493
168	99	491
169	100	488
170	100	486
171	100	484
172	100	481
173	101	479
174	101	477
175	101	475
176	101	473
177	102	471
178	102	469
179	102	467
180	102	464
181	102	462
182	103	460
183	103	458
184	103	456
185	103	454
186	104	452
187	104	450
188	104	448
189	104	446
190	104	444
191	105	442
192	105	440
193	105	439
194	105	437
195	106	435
196	106	433
197	106	432
198	106	430
199	107	428
200	107	426
201	107	424
202	107	423
203	108	421
204	108	419
205	108	418
206	108	416
207	108	414
208	109	413
209	109	411
210	109	409
211	109	408
212	110	406
213	110	405
214	110	403
215	110	402
216	111	400
217	111	399
218	111	397
219	111	396
220	111	394
221	112	393
222	112	391
223	112	390
224	112	388
225	113	387
226	113	385
227	113	384
228	113	382
229	113	381
230	114	380
231	114	378
232	114	376
233	114	375
234	114	374
235	115	372
236	115	371
237	115	370
238	115	368
239	116	367
240	116	366
241	116	364
242	116	363
243	116	362
244	117	361
245	117	359
246	117	358
247	117	357
248	118	356
249	118	355
250	118	353
251	118	352
252	119	351
253	119	350
254	119	349
255	119	347
256	119	346
257	120	345
258	120	344
259	120	343
260	120	342
261	121	341
262	121	339
263	121	338
264	121	337
265	121	336
266	122	335
267	122	334
268	122	332
269	122	331
270	122	330
271	123	329
272	123	328
273	123	327
274	123	326
275	124	325
276	124	324
277	124	323
278	124	322
279	124	321
280	125	320
281	125	319
282	125	318
283	125	317
284	126	316
285	126	315
286	126	314
287	126	313
288	127	312
289	127	311
290	127	310
291	127	309
292	127	308
293	128	307
294	128	306
295	128	305
296	128	305
297	129	304
298	129	303
299	129	302
300	129	301
301	129	300
302	130	299
303	130	298
304	130	297
305	130	296
306	131	295
307	131	295
308	131	294
309	131	293
310	131	292
311	132	291
312	132	290
313	132	290
314	132	289
315	133	288
316	133	287
317	133	286
318	133	285
319	134	284
320	134	284
321	134	283
322	134	282
323	135	281
324	135	281
325	135	280
326	135	279
327	135	278
328	136	277
329	136	276
330	136	275
331	136	275
332	136	274
333	137	273
334	137	272
335	137	271
336	137	271
337	138	270
338	138	269
339	138	268
340	138	268
341	138	267
342	139	266
343	139	265
344	139	264
345	139	264
346	139	263
347	140	262
348	140	261
349	140	261
350	140	260
351	141	259
352	141	258
353	141	258
354	141	257
355	141	256
356	142	256
357	142	255
358	142	254
359	142	254
360	143	253
361	143	252
362	143	251
363	143	251
364	144	250
365	144	249
366	144	249
367	144	248
368	144	247
369	145	247
370	145	246
371	145	245
372	145	245
373	146	244
374	146	243
375	146	243
376	146	242
377	146	241
378	147	241
379	147	240
380	147	239
381	147	239
382	148	238
383	148	237
384	148	237
385	148	236
386	148	235
387	149	235
388	149	234
389	149	234
390	149	233
391	150	232
392	150	232
393	150	231
394	150	230
395	151	230
396	151	229
397	151	229
398	151	228
399	151	227
400	152	227
401	152	226
402	152	225
403	152	225
404	152	224
405	153	223
406	153	223
407	153	222
408	153	222
409	154	221
410	154	221
411	154	220
412	154	219
413	154	219
414	155	218
415	155	218
416	155	217
417	155	216
418	156	216
419	156	215
420	156	215
421	156	214
422	156	213
423	157	213
424	157	212
425	157	212
426	157	211
427	157	211
428	158	210
429	158	209
430	158	209
431	158	208
432	158	208
433	159	207
434	159	207
435	159	206
436	159	205
437	160	205
438	160	204
439	160	204
440	160	203
441	160	203
442	161	202
443	161	202
444	161	201
445	161	201
446	162	200
447	162	200
448	162	199
449	162	198
450	162	198
451	163	197
452	163	197
453	163	196
454	163	196
455	164	195
456	164	195
457	164	194
458	164	194
459	164	193
460	165	193
461	165	192
462	165	192
463	165	191
464	166	191
465	166	190
466	166	189
467	166	189
468	166	188
469	167	188
470	167	187
471	167	187
472	167	186
473	167	186
474	168	185
475	168	185
476	168	184
477	168	184
478	169	183
479	169	183
480	169	182
481	169	182
482	169	181
483	170	181
484	170	180
485	170	180
486	170	179
